"","SHIP_ID","SHIPNAME","ship_type","points","first_date","last_date","LAT","LON","DATETIME","dest_lat","dest_lon","distance_meters"
"33",24344,"VTS BALTIYSK","Unspecified",3279,"2016-12-13T11:31:03Z","2016-12-20T08:01:02Z",54.62998,19.88548,"2016-12-20T07:59:02Z",54.62998,19.88548,0
"34",24345,"VTS 2734463","Unspecified",4735,"2016-12-13T11:31:04Z","2016-12-20T11:11:04Z",59.8646,30.47185,"2016-12-20T10:59:04Z",59.8646,30.47185,0
"35",24366,"VTS 2734488","Unspecified",4041,"2016-12-13T11:31:03Z","2016-12-20T11:11:02Z",54.89622,19.93811,"2016-12-20T11:07:04Z",54.89622,19.93811,0
"36",24369,"VTS 2734492","Unspecified",9481,"2016-12-13T11:31:04Z","2016-12-20T11:11:04Z",59.93639,30.22619,"2016-12-13T12:37:05Z",59.93667,30.22583,37.0753087839539
"37",24468,"VTS KLAIPEDA","Unspecified",267,"2016-12-18T13:55:06Z","2016-12-19T05:19:06Z",55.69013,21.13727,"2016-12-18T16:19:06Z",55.69002,21.13729,12.3092828318695
"38",24473,"VTS 2770110","Unspecified",4728,"2016-12-13T11:31:07Z","2016-12-20T11:11:06Z",55.72771,21.09569,"2016-12-20T10:59:06Z",55.72771,21.09569,0
"39",37523,"HELGE","Cargo",18,"2016-12-20T05:41:05Z","2016-12-20T06:17:06Z",57.98425,11.75003,"2016-12-20T06:13:05Z",57.99721,11.76468,1681.852592577
"40",73528,"SAR 111261105","Tug",31,"2016-12-20T08:19:07Z","2016-12-20T09:11:07Z",54.67845,18.74161,"2016-12-20T08:27:01Z",54.59363,18.80848,10378.5911809838
"41",73551,"SAR 111265121","Tug",3,"2016-12-16T09:25:06Z","2016-12-16T09:29:05Z",57.60648,11.62348,"2016-12-16T09:25:06Z",57.67288,11.62489,7392.0916049049
"42",115307,"MELUSINE","Cargo",1173,"2016-12-14T19:13:06Z","2016-12-18T16:17:05Z",57.67873,11.7854,"2016-12-14T19:55:05Z",57.68228,11.83933,3233.92584096325
"43",117309,"VICTORINE","Cargo",427,"2016-12-19T17:07:05Z","2016-12-20T00:43:05Z",57.64971,11.71424,"2016-12-19T17:27:05Z",57.65609,11.7494,2211.3253448884
"44",118748,"WAASMUNSTER","Tanker",22,"2016-12-18T07:31:04Z","2016-12-18T08:15:04Z",57.95479,11.70541,"2016-12-18T07:57:05Z",57.96463,11.71845,1338.99922311158
"45",121733,"BF CARTAGENA","Cargo",2560,"2016-12-13T15:33:03Z","2016-12-15T17:53:05Z",59.90217,30.09717,"2016-12-15T17:37:05Z",59.90683,30.07483,1350.62060833795
"46",121902,"X-PRESS ETNA","Cargo",1129,"2016-12-19T14:55:03Z","2016-12-20T11:11:04Z",59.90613,30.07705,"2016-12-19T15:11:12Z",59.90249,30.09439,1049.32305953471
"47",122006,"IDUNA","Cargo",852,"2016-12-13T19:17:03Z","2016-12-20T10:59:07Z",54.70171,18.99737,"2016-12-14T15:27:02Z",54.75998,18.99467,6488.90800389333
"48",122250,"WILSON SKY","Cargo",574,"2016-12-13T11:31:08Z","2016-12-15T17:17:06Z",54.67703,18.9902,"2016-12-13T22:35:02Z",55.69126,21.13543,177008.334000514
"49",122557,"HUGIN EXPLORER","Tug",33,"2016-12-14T17:29:05Z","2016-12-16T16:57:06Z",57.94002,11.68876,"2016-12-14T17:45:05Z",57.95451,11.70733,1950.73843455405
"50",122562,"THURKUS","Cargo",1094,"2016-12-15T04:27:02Z","2016-12-16T14:43:08Z",54.54402,18.82845,"2016-12-16T12:55:01Z",54.56498,18.859,3055.12061257243
"51",122649,"SOLONG","Cargo",52,"2016-12-14T01:39:03Z","2016-12-14T02:29:04Z",59.91267,30.04487,"2016-12-14T01:45:04Z",59.91005,30.05787,781.943370952598
"52",123061,"VLADIMIR","Cargo",2211,"2016-12-17T06:27:04Z","2016-12-18T19:23:04Z",59.90915,30.06179,"2016-12-17T06:37:04Z",59.90486,30.08275,1263.62379555297
"53",123147,"ARETHOUSA","Cargo",4329,"2016-12-14T10:33:02Z","2016-12-20T11:11:02Z",54.52544,18.99381,"2016-12-14T10:35:02Z",54.51316,18.98008,1629.6349024777
"54",123222,"WMS GRONINGEN","Cargo",1797,"2016-12-18T14:25:03Z","2016-12-19T20:43:04Z",59.91378,30.03969,"2016-12-19T20:37:04Z",59.91872,30.01553,1455.9871150599
"55",123296,"DUKE 2","Tug",1349,"2016-12-17T21:37:03Z","2016-12-20T11:11:02Z",55.04501,20.0843,"2016-12-18T01:49:02Z",55.0174,20.24331,10600.2873702186
"56",123303,"HEINRICH SCHEPERS","Cargo",1654,"2016-12-14T14:31:03Z","2016-12-15T18:07:05Z",59.90049,30.1049,"2016-12-15T17:47:04Z",59.90443,30.08541,1173.08354400607
"57",123774,"NORDIC HAMBURG","Cargo",498,"2016-12-17T14:01:03Z","2016-12-17T22:17:04Z",59.9152,30.03243,"2016-12-17T14:05:04Z",59.91153,30.05079,1103.03572324703
"58",124152,"VARVARA","Cargo",14,"2016-12-13T11:31:04Z","2016-12-13T11:43:04Z",59.91079,30.05415,"2016-12-13T11:31:04Z",59.91301,30.04302,668.498608507527
"59",124278,"ASTRORUNNER","Cargo",660,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.60032,11.65497,"2016-12-13T18:09:05Z",57.6118,11.62322,2284.40804530965
"60",124420,"LEENI","Tanker",421,"2016-12-19T18:53:05Z","2016-12-20T11:11:06Z",55.72846,21.00928,"2016-12-19T19:35:06Z",55.72853,21.04139,2012.85257225897
"61",124457,"EMSRUNNER","Cargo",3210,"2016-12-13T11:31:07Z","2016-12-20T11:11:06Z",55.65417,21.15783,"2016-12-18T06:23:06Z",55.65434,21.158,21.7284183468692
"62",124538,"BEATA","Cargo",782,"2016-12-15T13:41:03Z","2016-12-16T19:13:02Z",54.6795,19.80137,"2016-12-16T15:31:02Z",55.13744,19.81967,50991.0976068189
"63",124748,"KAPRIFOL","Tanker",80,"2016-12-16T10:27:06Z","2016-12-17T11:17:06Z",55.72542,21.09317,"2016-12-16T11:27:07Z",55.71477,21.10939,1561.98095386701
"64",124752,"TOLLUND","Cargo",522,"2016-12-13T11:31:03Z","2016-12-17T19:47:01Z",54.66673,19.819,"2016-12-17T16:23:02Z",54.78199,18.99543,54477.9541958991
"65",124887,"PETER THE GREAT","Tug",1352,"2016-12-15T03:41:03Z","2016-12-20T11:11:02Z",54.96026,20.2185,"2016-12-17T12:47:02Z",54.96758,20.22197,844.495083596288
"66",125326,"BLUEBILL","Cargo",2526,"2016-12-18T15:21:03Z","2016-12-20T11:11:04Z",59.90845,30.0658,"2016-12-18T16:49:04Z",59.90621,30.07703,674.587266415356
"67",125380,"PIRITA","Cargo",900,"2016-12-13T11:31:04Z","2016-12-14T02:29:04Z",59.87837,30.22568,"2016-12-14T00:43:04Z",59.87857,30.22628,40.2388934773966
"68",125418,"MERITUS","Tug",2493,"2016-12-15T04:13:02Z","2016-12-18T15:25:02Z",54.95612,20.21144,"2016-12-17T13:57:02Z",54.95604,20.21149,9.46168269568734
"69",125721,"MERITA","Cargo",227,"2016-12-17T12:09:02Z","2016-12-20T02:49:03Z",54.67559,19.80014,"2016-12-19T22:13:02Z",55.10017,19.80171,47264.1362994666
"70",126010,"CRESTWAY","Tug",4772,"2016-12-13T11:21:01Z","2016-12-20T11:11:02Z",54.37539,18.65903,"2016-12-14T19:59:02Z",54.37536,18.65902,3.40194878598461
"71",130867,"SELENE PRAHM","Cargo",743,"2016-12-14T10:09:01Z","2016-12-15T07:41:07Z",54.37166,18.664,"2016-12-15T03:13:01Z",54.38306,18.66144,1279.85104207568
"72",132427,"PHOENIX II","Cargo",950,"2016-12-14T10:09:01Z","2016-12-20T03:35:02Z",54.45469,18.99999,"2016-12-19T19:03:01Z",54.67082,19.80477,57244.9000906938
"73",132925,"CONTAINERSHIPS 6","Cargo",280,"2016-12-13T17:05:06Z","2016-12-14T02:29:06Z",55.69683,21.12467,"2016-12-13T18:11:07Z",55.67983,21.1375,2056.56449764007
"74",134088,"SEALING","Tanker",811,"2016-12-17T18:33:07Z","2016-12-18T22:05:06Z",55.73785,20.86011,"2016-12-18T21:57:05Z",55.73885,20.83035,1868.37441365524
"75",142957,"PATRICIA ESSBERGER","Tanker",795,"2016-12-14T00:15:03Z","2016-12-15T12:35:03Z",54.63329,19.89349,"2016-12-15T12:15:03Z",54.65217,19.85804,3103.55263645035
"76",144106,"NORDIC PHILIP","Cargo",807,"2016-12-18T10:51:03Z","2016-12-20T11:01:03Z",54.63322,19.89455,"2016-12-19T07:47:02Z",54.63261,19.91726,1464.85150978237
"77",144450,"BALTIC AMBITION","Tanker",2309,"2016-12-18T02:55:03Z","2016-12-19T17:49:04Z",59.91253,30.0457,"2016-12-19T17:41:04Z",59.91715,30.02296,1369.21835806734
"78",144628,"ARK FORWARDER","Cargo",1085,"2016-12-13T17:41:06Z","2016-12-17T14:57:04Z",57.67988,11.81698,"2016-12-14T02:29:07Z",57.61075,11.62227,13920.1633069232
"79",145002,"CEMSOL","Cargo",1679,"2016-12-16T04:02:32Z","2016-12-18T15:53:06Z",55.81088,20.8829,"2016-12-18T15:33:07Z",55.82241,20.86578,1671.50326853927
"80",145203,"VITIM","Cargo",2504,"2016-12-13T11:21:01Z","2016-12-20T11:11:02Z",54.45097,18.99401,"2016-12-15T04:43:02Z",55.74082,20.80078,184002.725352148
"81",145641,"RUTH","Cargo",502,"2016-12-20T01:27:03Z","2016-12-20T11:11:04Z",59.91788,30.0202,"2016-12-20T01:29:04Z",59.91236,30.0471,1621.99050296228
"82",145692,"HANNA","Cargo",483,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.6785,11.80817,"2016-12-13T14:45:05Z",57.66417,11.7795,2336.16949717552
